Date,Open,High,Low,Close,Adj Close,Volume
5-Jul-17,2430.78,2434.9,2422.05,2432.54,2432.54,3367220000
6-Jul-17,2423.44,2424.28,2407.7,2409.75,2409.75,3364520000
7-Jul-17,2413.52,2426.92,2413.52,2425.18,2425.18,2901330000
10-Jul-17,2424.51,2432,2422.27,2427.43,2427.43,2999130000
11-Jul-17,2427.35,2429.3,2412.79,2425.53,2425.53,3106750000
12-Jul-17,2435.75,2445.76,2435.75,2443.25,2443.25,3171620000
13-Jul-17,2444.99,2449.32,2441.69,2447.83,2447.83,3067670000
14-Jul-17,2449.16,2463.54,2446.69,2459.27,2459.27,2736640000
17-Jul-17,2459.5,2462.82,2457.16,2459.14,2459.14,2793170000
18-Jul-17,2455.88,2460.92,2450.34,2460.61,2460.61,2962130000
19-Jul-17,2463.85,2473.83,2463.85,2473.83,2473.83,3059760000
20-Jul-17,2475.56,2477.62,2468.43,2473.45,2473.45,3182780000
21-Jul-17,2467.4,2472.54,2465.06,2472.54,2472.54,3059570000
24-Jul-17,2472.04,2473.1,2466.32,2469.91,2469.91,3010240000
25-Jul-17,2477.88,2481.24,2474.91,2477.13,2477.13,4108060000
26-Jul-17,2479.97,2481.69,2474.94,2477.83,2477.83,3557020000
27-Jul-17,2482.76,2484.04,2459.93,2475.42,2475.42,3995520000
28-Jul-17,2469.12,2473.53,2464.66,2472.1,2472.1,3294770000
31-Jul-17,2475.94,2477.96,2468.53,2470.3,2470.3,3469210000
1-Aug-17,2477.1,2478.51,2471.14,2476.35,2476.35,3460860000
2-Aug-17,2480.38,2480.38,2466.48,2477.57,2477.57,3478580000
3-Aug-17,2476.03,2476.03,2468.85,2472.16,2472.16,3645020000
4-Aug-17,2476.88,2480,2472.08,2476.83,2476.83,3235140000
7-Aug-17,2477.14,2480.95,2475.88,2480.91,2480.91,2931780000
8-Aug-17,2478.35,2490.87,2470.32,2474.92,2474.92,3344640000
9-Aug-17,2465.35,2474.41,2462.08,2474.02,2474.02,3308060000
10-Aug-17,2465.38,2465.38,2437.75,2438.21,2438.21,3621070000
11-Aug-17,2441.04,2448.09,2437.85,2441.32,2441.32,3159930000
14-Aug-17,2454.96,2468.22,2454.96,2465.84,2465.84,2822550000
15-Aug-17,2468.66,2468.9,2461.61,2464.61,2464.61,2913100000
16-Aug-17,2468.63,2474.93,2463.86,2468.11,2468.11,2953650000
17-Aug-17,2462.95,2465.02,2430.01,2430.01,2430.01,3142620000
18-Aug-17,2427.64,2440.27,2420.69,2425.55,2425.55,3415680000
21-Aug-17,2425.5,2430.58,2417.35,2428.37,2428.37,2788150000
22-Aug-17,2433.75,2454.77,2433.67,2452.51,2452.51,2777490000
23-Aug-17,2444.88,2448.91,2441.42,2444.04,2444.04,2785290000
24-Aug-17,2447.91,2450.39,2436.19,2438.97,2438.97,2846590000
25-Aug-17,2444.72,2453.96,2442.22,2443.05,2443.05,2588780000
28-Aug-17,2447.35,2449.12,2439.03,2444.24,2444.24,2677700000
29-Aug-17,2431.94,2449.19,2428.2,2446.3,2446.3,2737580000
30-Aug-17,2446.06,2460.31,2443.77,2457.59,2457.59,2633660000
31-Aug-17,2462.65,2475.01,2462.65,2471.65,2471.65,3348110000
1-Sep-17,2474.42,2480.38,2473.85,2476.55,2476.55,2710730000
5-Sep-17,2470.35,2471.97,2446.55,2457.85,2457.85,3490260000
6-Sep-17,2463.83,2469.64,2459.2,2465.54,2465.54,3374410000
7-Sep-17,2468.06,2468.62,2460.29,2465.1,2465.1,3353930000
